FID,gid,speed_90
ReAtlas_us_windspeed_offshore.11143,11143,4.875
ReAtlas_us_windspeed_offshore.11146,11146,5.125
ReAtlas_us_windspeed_offshore.11148,11148,5.625
ReAtlas_us_windspeed_offshore.11155,11155,4.625
ReAtlas_us_windspeed_offshore.11161,11161,7.125
ReAtlas_us_windspeed_offshore.11163,11163,4.875
ReAtlas_us_windspeed_offshore.11177,11177,8.125
ReAtlas_us_windspeed_offshore.11181,11181,6.625
ReAtlas_us_windspeed_offshore.11182,11182,5.125
ReAtlas_us_windspeed_offshore.11230,11230,6.125
ReAtlas_us_windspeed_offshore.12514,12514,10.125
ReAtlas_us_windspeed_offshore.11243,11243,9.375
ReAtlas_us_windspeed_offshore.11244,11244,9.625
ReAtlas_us_windspeed_offshore.11252,11252,9.125
ReAtlas_us_windspeed_offshore.11257,11257,9.375
ReAtlas_us_windspeed_offshore.11258,11258,7.625
ReAtlas_us_windspeed_offshore.11270,11270,9.125
ReAtlas_us_windspeed_offshore.11274,11274,8.125
ReAtlas_us_windspeed_offshore.11280,11280,8.375
ReAtlas_us_windspeed_offshore.11288,11288,8.625
ReAtlas_us_windspeed_offshore.11294,11294,9.625
ReAtlas_us_windspeed_offshore.11295,11295,9.625
ReAtlas_us_windspeed_offshore.11326,11326,9.125
ReAtlas_us_windspeed_offshore.11330,11330,9.125
ReAtlas_us_windspeed_offshore.12016,12016,9.125
ReAtlas_us_windspeed_offshore.12109,12109,11.375
ReAtlas_us_windspeed_offshore.12489,12489,10.625
ReAtlas_us_windspeed_offshore.12106,12106,8.625
ReAtlas_us_windspeed_offshore.12168,12168,9.875
ReAtlas_us_windspeed_offshore.11362,11362,9.125
ReAtlas_us_windspeed_offshore.11368,11368,8.125
ReAtlas_us_windspeed_offshore.12012,12012,8.125
ReAtlas_us_windspeed_offshore.12013,12013,8.375
ReAtlas_us_windspeed_offshore.12014,12014,8.625
ReAtlas_us_windspeed_offshore.12015,12015,8.875
ReAtlas_us_windspeed_offshore.12017,12017,9.625
ReAtlas_us_windspeed_offshore.12018,12018,10.125
ReAtlas_us_windspeed_offshore.11995,11995,7.125
ReAtlas_us_windspeed_offshore.11996,11996,7.625
ReAtlas_us_windspeed_offshore.11380,11380,8.625
ReAtlas_us_windspeed_offshore.11997,11997,8.125
ReAtlas_us_windspeed_offshore.11998,11998,8.625
ReAtlas_us_windspeed_offshore.11999,11999,8.875
ReAtlas_us_windspeed_offshore.12198,12198,11.125
ReAtlas_us_windspeed_offshore.12231,12231,9.625
ReAtlas_us_windspeed_offshore.12386,12386,11.125
ReAtlas_us_windspeed_offshore.12616,12616,7.625
ReAtlas_us_windspeed_offshore.12000,12000,9.125
ReAtlas_us_windspeed_offshore.12001,12001,9.375
ReAtlas_us_windspeed_offshore.12002,12002,9.625
ReAtlas_us_windspeed_offshore.12003,12003,10.125
ReAtlas_us_windspeed_offshore.12004,12004,11.125
ReAtlas_us_windspeed_offshore.12009,12009,6.625
ReAtlas_us_windspeed_offshore.12010,12010,7.125
ReAtlas_us_windspeed_offshore.12011,12011,7.625
ReAtlas_us_windspeed_offshore.12022,12022,6.875
ReAtlas_us_windspeed_offshore.12024,12024,8.125
ReAtlas_us_windspeed_offshore.12026,12026,6.625
ReAtlas_us_windspeed_offshore.12027,12027,6.875
ReAtlas_us_windspeed_offshore.12028,12028,9.125
ReAtlas_us_windspeed_offshore.12034,12034,7.125
ReAtlas_us_windspeed_offshore.12039,12039,7.875
ReAtlas_us_windspeed_offshore.12042,12042,6.125
ReAtlas_us_windspeed_offshore.12044,12044,6.375
ReAtlas_us_windspeed_offshore.12050,12050,7.125
ReAtlas_us_windspeed_offshore.12051,12051,7.375
ReAtlas_us_windspeed_offshore.12055,12055,7.125
ReAtlas_us_windspeed_offshore.12056,12056,7.375
ReAtlas_us_windspeed_offshore.12057,12057,7.625
ReAtlas_us_windspeed_offshore.12142,12142,8.875
ReAtlas_us_windspeed_offshore.12143,12143,9.125
ReAtlas_us_windspeed_offshore.12058,12058,8.625
ReAtlas_us_windspeed_offshore.12065,12065,6.625
ReAtlas_us_windspeed_offshore.12067,12067,7.875
ReAtlas_us_windspeed_offshore.12071,12071,7.625
ReAtlas_us_windspeed_offshore.12075,12075,6.875
ReAtlas_us_windspeed_offshore.12163,12163,9.125
ReAtlas_us_windspeed_offshore.12077,12077,8.125
ReAtlas_us_windspeed_offshore.12079,12079,7.875
ReAtlas_us_windspeed_offshore.12083,12083,8.375
ReAtlas_us_windspeed_offshore.12084,12084,8.625
ReAtlas_us_windspeed_offshore.12086,12086,7.625
ReAtlas_us_windspeed_offshore.12138,12138,8.375
ReAtlas_us_windspeed_offshore.12139,12139,7.875
