FID,gid,class
ReAtlas_us_geothermal.813,813,3
ReAtlas_us_geothermal.471,471,5
ReAtlas_us_geothermal.472,472,3
ReAtlas_us_geothermal.432,432,3
ReAtlas_us_geothermal.918,918,5
ReAtlas_us_geothermal.426,426,5
ReAtlas_us_geothermal.481,481,3
ReAtlas_us_geothermal.438,438,5
ReAtlas_us_geothermal.440,440,5
ReAtlas_us_geothermal.916,916,3
ReAtlas_us_geothermal.915,915,4
ReAtlas_us_geothermal.446,446,3
ReAtlas_us_geothermal.451,451,5
ReAtlas_us_geothermal.912,912,5
ReAtlas_us_geothermal.908,908,5
ReAtlas_us_geothermal.460,460,5
ReAtlas_us_geothermal.104,104,5
ReAtlas_us_geothermal.461,461,5
ReAtlas_us_geothermal.462,462,3
ReAtlas_us_geothermal.464,464,4
ReAtlas_us_geothermal.467,467,5
ReAtlas_us_geothermal.473,473,4
ReAtlas_us_geothermal.352,352,4
ReAtlas_us_geothermal.407,407,5
ReAtlas_us_geothermal.134,134,5
ReAtlas_us_geothermal.126,126,4
ReAtlas_us_geothermal.127,127,3
ReAtlas_us_geothermal.132,132,5
ReAtlas_us_geothermal.482,482,4
ReAtlas_us_geothermal.485,485,4
ReAtlas_us_geothermal.490,490,3
ReAtlas_us_geothermal.491,491,4
ReAtlas_us_geothermal.493,493,4
ReAtlas_us_geothermal.517,517,4
ReAtlas_us_geothermal.910,910,5
ReAtlas_us_geothermal.510,510,5
ReAtlas_us_geothermal.512,512,5
ReAtlas_us_geothermal.514,514,3
ReAtlas_us_geothermal.522,522,3
ReAtlas_us_geothermal.584,584,4
ReAtlas_us_geothermal.302,302,4
ReAtlas_us_geothermal.309,309,5
ReAtlas_us_geothermal.314,314,5
ReAtlas_us_geothermal.328,328,3
ReAtlas_us_geothermal.331,331,5
ReAtlas_us_geothermal.340,340,3
ReAtlas_us_geothermal.135,135,4
ReAtlas_us_geothermal.151,151,3
ReAtlas_us_geothermal.160,160,5
ReAtlas_us_geothermal.163,163,4
ReAtlas_us_geothermal.519,519,2
ReAtlas_us_geothermal.164,164,3
ReAtlas_us_geothermal.165,165,3
ReAtlas_us_geothermal.524,524,2
ReAtlas_us_geothermal.94,94,3
ReAtlas_us_geothermal.96,96,4
ReAtlas_us_geothermal.105,105,3
ReAtlas_us_geothermal.108,108,4
ReAtlas_us_geothermal.530,530,4
ReAtlas_us_geothermal.535,535,2
ReAtlas_us_geothermal.111,111,3
ReAtlas_us_geothermal.561,561,2
ReAtlas_us_geothermal.112,112,3
ReAtlas_us_geothermal.115,115,3
ReAtlas_us_geothermal.565,565,3
ReAtlas_us_geothermal.564,564,2
ReAtlas_us_geothermal.123,123,2
ReAtlas_us_geothermal.297,297,2
ReAtlas_us_geothermal.58,58,5
ReAtlas_us_geothermal.106,106,3
ReAtlas_us_geothermal.360,360,5
ReAtlas_us_geothermal.856,856,2
ReAtlas_us_geothermal.53,53,5
ReAtlas_us_geothermal.75,75,2
ReAtlas_us_geothermal.95,95,3
ReAtlas_us_geothermal.61,61,4
ReAtlas_us_geothermal.21,21,5
ReAtlas_us_geothermal.22,22,5
ReAtlas_us_geothermal.88,88,3
ReAtlas_us_geothermal.283,283,3
ReAtlas_us_geothermal.287,287,4
ReAtlas_us_geothermal.782,782,2
ReAtlas_us_geothermal.778,778,2
ReAtlas_us_geothermal.40,40,5
ReAtlas_us_geothermal.49,49,4
ReAtlas_us_geothermal.48,48,5
ReAtlas_us_geothermal.43,43,4
ReAtlas_us_geothermal.292,292,4
ReAtlas_us_geothermal.219,219,5
ReAtlas_us_geothermal.180,180,4
ReAtlas_us_geothermal.1,1,5
ReAtlas_us_geothermal.3,3,5
ReAtlas_us_geothermal.197,197,4
ReAtlas_us_geothermal.202,202,4
ReAtlas_us_geothermal.234,234,3
ReAtlas_us_geothermal.280,280,5
ReAtlas_us_geothermal.307,307,5
ReAtlas_us_geothermal.29,29,5
ReAtlas_us_geothermal.850,850,2
ReAtlas_us_geothermal.390,390,3
ReAtlas_us_geothermal.419,419,2
ReAtlas_us_geothermal.442,442,2
ReAtlas_us_geothermal.571,571,3
ReAtlas_us_geothermal.536,536,2
ReAtlas_us_geothermal.537,537,1
ReAtlas_us_geothermal.255,255,4
ReAtlas_us_geothermal.259,259,3
ReAtlas_us_geothermal.504,504,4
ReAtlas_us_geothermal.614,614,1
ReAtlas_us_geothermal.616,616,1
ReAtlas_us_geothermal.625,625,1
ReAtlas_us_geothermal.646,646,1
ReAtlas_us_geothermal.288,288,3
ReAtlas_us_geothermal.291,291,2
ReAtlas_us_geothermal.902,902,5
ReAtlas_us_geothermal.859,859,2
ReAtlas_us_geothermal.373,373,4
ReAtlas_us_geothermal.276,276,3
ReAtlas_us_geothermal.316,316,2
ReAtlas_us_geothermal.318,318,3
ReAtlas_us_geothermal.378,378,2
ReAtlas_us_geothermal.338,338,2
ReAtlas_us_geothermal.350,350,5
ReAtlas_us_geothermal.354,354,3
ReAtlas_us_geothermal.367,367,1
ReAtlas_us_geothermal.365,365,2
ReAtlas_us_geothermal.511,511,2
ReAtlas_us_geothermal.381,381,2
ReAtlas_us_geothermal.387,387,2
ReAtlas_us_geothermal.477,477,1
ReAtlas_us_geothermal.896,896,2
ReAtlas_us_geothermal.723,723,1
ReAtlas_us_geothermal.358,358,2
ReAtlas_us_geothermal.702,702,2
ReAtlas_us_geothermal.694,694,1
ReAtlas_us_geothermal.637,637,1
ReAtlas_us_geothermal.863,863,2
ReAtlas_us_geothermal.609,609,2
ReAtlas_us_geothermal.527,527,2
ReAtlas_us_geothermal.861,861,2
ReAtlas_us_geothermal.521,521,2
ReAtlas_us_geothermal.507,507,2
ReAtlas_us_geothermal.602,602,2
ReAtlas_us_geothermal.525,525,3
ReAtlas_us_geothermal.578,578,1
ReAtlas_us_geothermal.356,356,2
ReAtlas_us_geothermal.326,326,5
ReAtlas_us_geothermal.329,329,5
ReAtlas_us_geothermal.322,322,5
ReAtlas_us_geothermal.214,214,2
ReAtlas_us_geothermal.323,323,4
ReAtlas_us_geothermal.320,320,4
ReAtlas_us_geothermal.321,321,5
ReAtlas_us_geothermal.19,19,2
ReAtlas_us_geothermal.18,18,3
ReAtlas_us_geothermal.405,405,3
ReAtlas_us_geothermal.251,251,3
ReAtlas_us_geothermal.414,414,2
ReAtlas_us_geothermal.415,415,4
ReAtlas_us_geothermal.860,860,2
ReAtlas_us_geothermal.262,262,3
ReAtlas_us_geothermal.305,305,1
ReAtlas_us_geothermal.310,310,1
ReAtlas_us_geothermal.109,109,2
ReAtlas_us_geothermal.133,133,2
ReAtlas_us_geothermal.26,26,5
ReAtlas_us_geothermal.35,35,2
ReAtlas_us_geothermal.428,428,5
ReAtlas_us_geothermal.562,562,2
ReAtlas_us_geothermal.549,549,5
ReAtlas_us_geothermal.555,555,3
ReAtlas_us_geothermal.538,538,5
ReAtlas_us_geothermal.560,560,5
ReAtlas_us_geothermal.523,523,3
ReAtlas_us_geothermal.858,858,2
ReAtlas_us_geothermal.196,196,3
ReAtlas_us_geothermal.531,531,5
ReAtlas_us_geothermal.725,725,2
ReAtlas_us_geothermal.506,506,2
ReAtlas_us_geothermal.556,556,2
ReAtlas_us_geothermal.548,548,3
ReAtlas_us_geothermal.166,166,2
ReAtlas_us_geothermal.200,200,1
ReAtlas_us_geothermal.176,176,1
ReAtlas_us_geothermal.206,206,5
ReAtlas_us_geothermal.131,131,2
ReAtlas_us_geothermal.92,92,2
ReAtlas_us_geothermal.167,167,1
ReAtlas_us_geothermal.91,91,3
ReAtlas_us_geothermal.76,76,1
ReAtlas_us_geothermal.84,84,2
ReAtlas_us_geothermal.213,213,1
ReAtlas_us_geothermal.62,62,2
ReAtlas_us_geothermal.198,198,3
