FID,lat,lon,gid,reachid,pen_power_,pen_head_f
ReAtlas_smallhydro.4839,40.83409496469333,-123.90426713899205,4839,931281.000000,1256.252,593.307
ReAtlas_smallhydro.4842,40.82912019259099,-123.97082928340774,4842,931275.000000,1323.232,25.951
ReAtlas_smallhydro.4844,40.90877600875634,-123.71402274905722,4844,962629.000000,1029.343,823.753
ReAtlas_smallhydro.4845,40.852657050938966,-123.99050763200896,4845,931272.000000,1385.291,26.772
ReAtlas_smallhydro.4847,40.882468809916716,-123.94411559530792,4847,931255.000000,1467.937,247.408
ReAtlas_smallhydro.4848,40.94618528243047,-123.66307012804279,4848,962615.000000,4199.872,587.795
ReAtlas_smallhydro.4851,40.91192145627587,-124.063769394773,4851,931232.000000,1426.579,23.261
ReAtlas_smallhydro.4854,41.173669424304364,-123.02511316237585,4854,934372.000000,1134.748,1296.227
ReAtlas_smallhydro.4855,41.03333751936431,-123.70488651827944,4855,962530.000000,1671.478,809.416
ReAtlas_smallhydro.4856,41.17347590229886,-123.08887598496798,4856,934361.000000,1160.491,243.110
ReAtlas_smallhydro.4857,41.032364379016265,-123.81041224884862,4857,931214.000000,1298.917,700.033
ReAtlas_smallhydro.4858,41.206190721816164,-123.06044586833914,4858,934353.000000,2485.826,719.160
ReAtlas_smallhydro.4859,41.12863656187262,-123.76288801611676,4859,980122.000000,1205.708,339.272
ReAtlas_smallhydro.4862,41.28008448399861,-123.68102058554851,4862,980054.000000,3934.868,281.693
ReAtlas_smallhydro.4863,41.34762763057267,-123.59102894431524,4863,980039.000000,1999.186,350.656
ReAtlas_smallhydro.4864,41.3666140943636,-123.61263461698886,4864,980019.000000,1891.939,629.003
ReAtlas_smallhydro.4865,41.452933840201425,-123.82959074662736,4865,979929.000000,1122.974,36.778
ReAtlas_smallhydro.4866,41.444497890199315,-123.8835998566332,4866,979935.000000,6330.772,197.375
ReAtlas_smallhydro.4867,41.46153872141256,-123.8875269105975,4867,979905.000000,1267.306,1020.243
ReAtlas_smallhydro.4868,41.473741092299235,-123.89931219907893,4868,979903.000000,1356.059,1001.345
ReAtlas_smallhydro.4869,41.6567382437546,-123.31850364187875,4869,979857.000000,1295.318,112.861
ReAtlas_smallhydro.4870,41.67294078341424,-123.34542963137952,4870,979838.000000,2739.147,219.619
ReAtlas_smallhydro.4871,41.68942395854151,-123.32629025358281,4871,979832.000000,1207.666,1323.163
ReAtlas_smallhydro.4872,41.68485212005875,-123.35361084010677,4872,979829.000000,1409.566,106.923
ReAtlas_smallhydro.4873,41.56772256922952,-123.94984766491942,4873,979833.000000,1181.151,956.759
ReAtlas_smallhydro.4874,41.70344541519809,-123.354249964986,4874,979819.000000,1427.443,97.539
ReAtlas_smallhydro.4878,41.62334284885282,-123.84759342648266,4878,931108.000000,1081.503,415.387
ReAtlas_smallhydro.4879,41.711304127822885,-123.4702905383981,4879,979789.000000,4923.655,215.551
ReAtlas_smallhydro.4880,41.73730117549392,-123.3579814081051,4880,979811.000000,3593.087,232.448
ReAtlas_smallhydro.4881,41.74089018264535,-123.35563239327371,4881,979794.000000,1102.722,447.999
ReAtlas_smallhydro.4882,41.63403522584079,-123.9125932560591,4882,931113.000000,2126.695,363.025
ReAtlas_smallhydro.4883,41.61763004470104,-123.98962907982971,4883,979804.000000,1406.431,666.568
ReAtlas_smallhydro.4888,41.834980711758114,-123.38318928086392,4888,979737.000000,2356.924,129.265
