FID,gid,pen_power_,pen_head_f,pen_class
ReAtlas_smallhydro.2671,2671,1241.836,29.068,Small Hydro
ReAtlas_smallhydro.2672,2672,1909.36,57.283,Small Hydro
ReAtlas_smallhydro.2673,2673,1501.642,54.495,Small Hydro
ReAtlas_smallhydro.2674,2674,1159.52,32.579,Small Hydro
ReAtlas_smallhydro.2676,2676,1097.152,22.703,Small Hydro
ReAtlas_smallhydro.2677,2677,1421.463,1217.881,Small Hydro
ReAtlas_smallhydro.2678,2678,1599.882,18.602,Small Hydro
ReAtlas_smallhydro.2682,2682,1506.379,434.843,Small Hydro
ReAtlas_smallhydro.2683,2683,1941.357,836.975,Small Hydro
ReAtlas_smallhydro.2685,2685,2962.401,84.875,Small Hydro
ReAtlas_smallhydro.2689,2689,1165.502,13.419,Small Hydro
ReAtlas_smallhydro.2695,2695,2274.011,24.541,Small Hydro
ReAtlas_smallhydro.2700,2700,1123.831,165.978,Small Hydro
ReAtlas_smallhydro.2702,2702,1749.45,44.193,Small Hydro
ReAtlas_smallhydro.2708,2708,1406.001,571.161,Small Hydro
ReAtlas_smallhydro.2709,2709,1113.856,134.121,Small Hydro
ReAtlas_smallhydro.4875,4875,3173.681,21.555,Small Hydro
ReAtlas_smallhydro.4876,4876,2181.09,14.829,Small Hydro
ReAtlas_smallhydro.4877,4877,3009.861,20.604,Small Hydro
ReAtlas_smallhydro.4884,4884,30000,239.075,Small Hydro
ReAtlas_smallhydro.4885,4885,1385.507,208.301,Small Hydro
ReAtlas_smallhydro.4886,4886,1570.729,388.058,Small Hydro
ReAtlas_smallhydro.4887,4887,5991.089,46.358,Small Hydro
ReAtlas_smallhydro.4890,4890,1110.306,1562.041,Small Hydro
ReAtlas_smallhydro.4891,4891,17941.312,138.78,Small Hydro
ReAtlas_smallhydro.4892,4892,6361.431,48.983,Small Hydro
ReAtlas_smallhydro.4893,4893,1079.86,434.744,Small Hydro
ReAtlas_smallhydro.4896,4896,4399.734,40.486,Small Hydro
ReAtlas_smallhydro.4899,4899,1154.917,651.28,Small Hydro
ReAtlas_smallhydro.4901,4901,1309.969,764.567,Small Hydro
ReAtlas_smallhydro.4902,4902,1083.985,33.268,Small Hydro
ReAtlas_smallhydro.4903,4903,1087.916,24.377,Small Hydro
ReAtlas_smallhydro.4904,4904,9679.626,217.29,Small Hydro
ReAtlas_smallhydro.4905,4905,1882.493,42.487,Small Hydro
ReAtlas_smallhydro.4906,4906,1041.496,456.398,Small Hydro
ReAtlas_smallhydro.4584,4584,1047.172,4.298,Small Hydro
ReAtlas_smallhydro.4585,4585,18384.32,75.459,Small Hydro
ReAtlas_smallhydro.4587,4587,19239.591,210.761,Small Hydro
ReAtlas_smallhydro.4588,4588,30000,205.643,Small Hydro
ReAtlas_smallhydro.4591,4591,1836.326,954.987,Small Hydro
ReAtlas_smallhydro.4592,4592,3503.413,645.866,Small Hydro
ReAtlas_smallhydro.4593,4593,2066.566,338.911,Small Hydro
ReAtlas_smallhydro.4597,4597,8973.332,356.627,Small Hydro
ReAtlas_smallhydro.4598,4598,1231.768,655.906,Small Hydro
ReAtlas_smallhydro.4599,4599,1306.742,64.567,Small Hydro
ReAtlas_smallhydro.4600,4600,2289.189,19.029,Small Hydro
ReAtlas_smallhydro.4601,4601,4822.04,40.42,Small Hydro
ReAtlas_smallhydro.4602,4602,1196.219,1719.291,Small Hydro
ReAtlas_smallhydro.4603,4603,4313.054,174.213,Small Hydro
ReAtlas_smallhydro.4604,4604,2908.297,1530.512,Small Hydro
ReAtlas_smallhydro.4605,4605,7009.213,60.138,Small Hydro
ReAtlas_smallhydro.4606,4606,1711.49,961.122,Small Hydro
ReAtlas_smallhydro.4607,4607,1386.101,1481.857,Small Hydro
ReAtlas_smallhydro.4608,4608,2013.149,918.34,Small Hydro
ReAtlas_smallhydro.4609,4609,6465.088,959.055,Small Hydro
ReAtlas_smallhydro.4610,4610,13241.738,120.112,Small Hydro
ReAtlas_smallhydro.4611,4611,3539.676,146.063,Small Hydro
ReAtlas_smallhydro.4612,4612,1601.673,2326.837,Small Hydro
ReAtlas_smallhydro.4613,4613,4095.84,198.852,Small Hydro
ReAtlas_smallhydro.4614,4614,1182.724,629.79,Small Hydro
ReAtlas_smallhydro.4615,4615,7047.652,320.505,Small Hydro
ReAtlas_smallhydro.4616,4616,10009.628,1607.972,Small Hydro
ReAtlas_smallhydro.4617,4617,1268.271,197.572,Small Hydro
ReAtlas_smallhydro.4618,4618,14903.06,152.297,Small Hydro
ReAtlas_smallhydro.4619,4619,13904.575,800.361,Small Hydro
ReAtlas_smallhydro.4620,4620,2805.436,517.192,Small Hydro
ReAtlas_smallhydro.4621,4621,5846.767,429.134,Small Hydro
ReAtlas_smallhydro.4623,4623,2803.44,637.238,Small Hydro
ReAtlas_smallhydro.4624,4624,3075.847,818.93,Small Hydro
ReAtlas_smallhydro.4627,4627,1582.871,952.953,Small Hydro
ReAtlas_smallhydro.4630,4630,1348.718,186.22,Small Hydro
ReAtlas_smallhydro.4632,4632,3323.128,239.567,Small Hydro
ReAtlas_smallhydro.4635,4635,5786.637,756.759,Small Hydro
ReAtlas_smallhydro.4636,4636,2402.177,759.022,Small Hydro
ReAtlas_smallhydro.4640,4640,1049.128,513.681,Small Hydro
ReAtlas_smallhydro.4641,4641,1461.969,781.66,Small Hydro
ReAtlas_smallhydro.4642,4642,4648.152,675.262,Small Hydro
ReAtlas_smallhydro.4643,4643,1401.793,936.778,Small Hydro
ReAtlas_smallhydro.4646,4646,1069.783,121.686,Small Hydro
ReAtlas_smallhydro.4648,4648,5739.811,516.962,Small Hydro
ReAtlas_smallhydro.4656,4656,2884.472,184.022,Small Hydro
ReAtlas_smallhydro.4661,4661,1308.947,777.625,Small Hydro
ReAtlas_smallhydro.4662,4662,1716.096,171.555,Small Hydro
ReAtlas_smallhydro.4663,4663,2553.533,274.573,Small Hydro
ReAtlas_smallhydro.4665,4665,2140.894,249.902,Small Hydro
ReAtlas_smallhydro.4666,4666,1067.804,945.243,Small Hydro
ReAtlas_smallhydro.4667,4667,2047.458,427.592,Small Hydro
ReAtlas_smallhydro.4668,4668,1168.747,924.344,Small Hydro
ReAtlas_smallhydro.4669,4669,5384.451,973.852,Small Hydro
ReAtlas_smallhydro.4670,4670,1538.972,842.979,Small Hydro
ReAtlas_smallhydro.4671,4671,1127.91,144.816,Small Hydro
ReAtlas_smallhydro.4672,4672,3975.615,494.751,Small Hydro
ReAtlas_smallhydro.4674,4674,1359.318,163.091,Small Hydro
ReAtlas_smallhydro.4675,4675,5137.927,13.78,Small Hydro
ReAtlas_smallhydro.4676,4676,1840.304,220.407,Small Hydro
ReAtlas_smallhydro.4677,4677,1858.581,4.987,Small Hydro
ReAtlas_smallhydro.4678,4678,1712.195,4.593,Small Hydro
ReAtlas_smallhydro.4679,4679,1484.193,1255.446,Small Hydro
ReAtlas_smallhydro.4680,4680,5343.637,14.337,Small Hydro
ReAtlas_smallhydro.4681,4681,1675.792,194.094,Small Hydro
ReAtlas_smallhydro.4682,4682,1193.358,785.696,Small Hydro
ReAtlas_smallhydro.4683,4683,1285.783,695.735,Small Hydro
ReAtlas_smallhydro.4684,4684,1105.001,317.618,Small Hydro
ReAtlas_smallhydro.4686,4686,4090.399,11.68,Small Hydro
ReAtlas_smallhydro.4687,4687,1127.032,528.576,Small Hydro
ReAtlas_smallhydro.4688,4688,1958.546,492.06,Small Hydro
ReAtlas_smallhydro.4689,4689,4169.717,348.097,Small Hydro
ReAtlas_smallhydro.4690,4690,6484.101,366.601,Small Hydro
ReAtlas_smallhydro.4691,4691,3071.709,510.007,Small Hydro
ReAtlas_smallhydro.4692,4692,1310.603,973.261,Small Hydro
ReAtlas_smallhydro.4693,4693,2523.45,212.927,Small Hydro
ReAtlas_smallhydro.4694,4694,1626.123,92.29,Small Hydro
ReAtlas_smallhydro.4695,4695,2250.95,545.013,Small Hydro
ReAtlas_smallhydro.4696,4696,1765.054,68.241,Small Hydro
ReAtlas_smallhydro.4698,4698,4021.784,506.627,Small Hydro
ReAtlas_smallhydro.4699,4699,1886.75,72.736,Small Hydro
ReAtlas_smallhydro.4700,4700,3563.324,881.955,Small Hydro
ReAtlas_smallhydro.4701,4701,3468.091,133.891,Small Hydro
ReAtlas_smallhydro.4703,4703,2247.884,597.31,Small Hydro
ReAtlas_smallhydro.4704,4704,2216.153,6.923,Small Hydro
ReAtlas_smallhydro.4705,4705,4153.245,564.14,Small Hydro
ReAtlas_smallhydro.4706,4706,2158.886,588.878,Small Hydro
ReAtlas_smallhydro.4707,4707,1553.224,4.856,Small Hydro
ReAtlas_smallhydro.4708,4708,2894.409,9.154,Small Hydro
ReAtlas_smallhydro.4709,4709,1257.345,753.609,Small Hydro
ReAtlas_smallhydro.4710,4710,1407.166,4.757,Small Hydro
ReAtlas_smallhydro.4712,4712,2620.287,8.924,Small Hydro
ReAtlas_smallhydro.4713,4713,1473.685,5.02,Small Hydro
ReAtlas_smallhydro.4715,4715,1434.207,4.888,Small Hydro
ReAtlas_smallhydro.4716,4716,6684.639,22.802,Small Hydro
ReAtlas_smallhydro.4717,4717,1119.164,1017.618,Small Hydro
ReAtlas_smallhydro.4719,4719,2301.522,658.694,Small Hydro
ReAtlas_smallhydro.4720,4720,1677.472,574.869,Small Hydro
ReAtlas_smallhydro.4721,4721,1078.194,187.402,Small Hydro
ReAtlas_smallhydro.4722,4722,3869.982,142.454,Small Hydro
ReAtlas_smallhydro.4723,4723,2177.429,8.071,Small Hydro
ReAtlas_smallhydro.4724,4724,1066.213,268.373,Small Hydro
ReAtlas_smallhydro.4725,4725,2573.194,9.58,Small Hydro
ReAtlas_smallhydro.4727,4727,1505.749,267.618,Small Hydro
ReAtlas_smallhydro.4728,4728,3980.694,396.457,Small Hydro
ReAtlas_smallhydro.4729,4729,2862.645,10.663,Small Hydro
ReAtlas_smallhydro.4730,4730,2293.108,86.286,Small Hydro
ReAtlas_smallhydro.4731,4731,1890.503,318.241,Small Hydro
ReAtlas_smallhydro.4732,4732,4071.258,666.864,Small Hydro
ReAtlas_smallhydro.4733,4733,4235.534,15.781,Small Hydro
ReAtlas_smallhydro.4734,4734,2578.455,662.762,Small Hydro
ReAtlas_smallhydro.4735,4735,3185.702,11.877,Small Hydro
