FID,gid,name,state_name,crops,manure,forest,primmill,secmill,urban,landfill,total
ReAtlas_biomass.1964,1964,Hampshire,Massachusetts,0,10.565,11868,17961,783.389,16460.341,8888,56245.737
ReAtlas_biomass.1965,1965,Hampden,Massachusetts,0,0,7274,15438,5515.754,49597.229,29627,108206.402
ReAtlas_biomass.1967,1967,Norfolk,Massachusetts,0,5.225,1901,0,5854.45,69531.375,40374,118741.399
ReAtlas_biomass.1968,1968,Plymouth,Massachusetts,0,7.66,8372,12623,5070.161,52006.931,58193,137213.37
ReAtlas_biomass.1969,1969,Bristol,Massachusetts,0,23.533,2241,3321,3580.049,57803.597,30774,98640.931
ReAtlas_biomass.2596,2596,Appanoose,Iowa,55115.891,73.86,1346,3962,244.8,1687.582,0,221149.318
ReAtlas_biomass.1973,1973,Caddo,Louisiana,26591.505,41.482,83564,0,1526.854,27294.263,5107.633,145712.999
ReAtlas_biomass.1974,1974,Bossier,Louisiana,7611.907,33.105,178051,0,988.265,10331.878,0,200624.265
ReAtlas_biomass.1975,1975,Webster,Louisiana,0,23.246,116352,224719,738.482,4604.836,1225,350208.392
ReAtlas_biomass.1976,1976,Claiborne,Louisiana,0,179.677,123874,0,8.165,1890.273,0,128973.74
ReAtlas_biomass.1977,1977,Union,Louisiana,0,814.864,157206,0,8.165,2493.813,1015.821,161799.541
ReAtlas_biomass.1978,1978,Morehouse,Louisiana,155657.115,10.145,65323,0,489.6,3327.129,0,241933.602
ReAtlas_biomass.1979,1979,West Carroll,Louisiana,56552.677,24.56,16820,0,0,1430.215,314.857,240908.111
ReAtlas_biomass.1980,1980,East Carroll,Louisiana,141078.675,2.259,20244,116409,0,1046.081,0,321764.216
ReAtlas_biomass.1981,1981,Lincoln,Louisiana,0,328.419,97365,133381,1730.83,4582.806,220.694,238865.66
ReAtlas_biomass.1982,1982,Ouachita,Louisiana,22422.105,47.512,94992,251286,2988.389,15748.356,10162,409625.393
ReAtlas_biomass.1983,1983,Richland,Louisiana,80395.797,21.646,36280,0,0,2309.06,0,180337.072
ReAtlas_biomass.1984,1984,Bienville,Louisiana,0,20.247,140277,178207,248.882,1869.613,0,321623.122
ReAtlas_biomass.1985,1985,Jackson,Louisiana,0,151.27,208129,0,244.8,1833.615,0,210574.657
ReAtlas_biomass.1986,1986,Franklin,Louisiana,98442.011,31.132,41742,0,244.8,2428.435,0,195913.09
ReAtlas_biomass.1987,1987,De Soto,Louisiana,0,317.455,149271,0,8.165,3039.024,432.974,173359.478
ReAtlas_biomass.1988,1988,Caldwell,Louisiana,7545.873,9.447,56263,0,8.165,1161.577,0,83838.997
ReAtlas_biomass.1989,1989,Tensas,Louisiana,117932.915,1.232,63903,0,0,671.074,420.577,240779.185
ReAtlas_biomass.1990,1990,Red River,Louisiana,8009.093,17.457,35392,269115,0,1066.463,0,390996.455
ReAtlas_biomass.2597,2597,Wayne,Iowa,82658.095,270.054,728,0,0,694.161,0,412749.695
ReAtlas_biomass.613,613,San Patricio,Texas,120472.48,17.411,0,0,4.082,7671.347,0,130162.409
ReAtlas_biomass.1991,1991,Madison,Louisiana,154289.355,2.259,52319,0,0,1482.817,0,272498.301
ReAtlas_biomass.1992,1992,Natchitoches,Louisiana,25023.309,301.898,118689,0,8.165,4325.881,0,213774.822
ReAtlas_biomass.1993,1993,Winn,Louisiana,0,6.161,119104,385771,0,1894.633,0,506928.924
ReAtlas_biomass.1994,1994,Catahoula,Louisiana,121597.355,7.804,32676,0,0,1198.082,0,235212.962
ReAtlas_biomass.1995,1995,La Salle,Louisiana,0,7.188,93653,94384,0,1538.993,630.765,190259.336
ReAtlas_biomass.1996,1996,Sabine,Louisiana,0,389.666,121120,467847,261.13,2832.672,748.267,593237.527
ReAtlas_biomass.2536,2536,Ida,Iowa,236675.817,963.117,0,0,257.047,989.901,0,290772.537
ReAtlas_biomass.2537,2537,Sac,Iowa,331066.578,2820.391,0,0,4.082,1461.49,0,360208.926
ReAtlas_biomass.2538,2538,Calhoun,Iowa,347615.644,1359.065,0,0,4.082,1328.008,0,403042.571
ReAtlas_biomass.2539,2539,Hamilton,Iowa,353156.19,3695.78,442,0,489.6,1695.485,0,406883.849
ReAtlas_biomass.2540,2540,Hardin,Iowa,331017.805,3561.241,5112,0,493.682,2121.909,0,384903.569
ReAtlas_biomass.2110,2110,Crittenden,Kentucky,8137.884,117.081,19774,9960,4.082,1107.754,0,139644.964
ReAtlas_biomass.2114,2114,Taylor,Kentucky,11803.67,362.34,33299,10005,322.366,2666.232,0,67742.701
ReAtlas_biomass.2116,2116,Hart,Kentucky,2451.908,443.708,28790,21529,489.6,2072.13,0,65428.771
ReAtlas_biomass.2117,2117,Perry,Kentucky,0,0.878,23387,26271,248.882,3366.647,0,53323.006
ReAtlas_biomass.2118,2118,Livingston,Kentucky,7867.237,147.955,17794,16490,0,1062.491,0,128728.178
ReAtlas_biomass.2056,2056,Carter,Kentucky,0,9.131,29775,20737,734.4,3095.606,0,54537.124
ReAtlas_biomass.2119,2119,Muhlenberg,Kentucky,16993.988,573.687,35811,47705,980.1,3541.273,0,142630.633
ReAtlas_biomass.2120,2120,Butler,Kentucky,24105.83,787.05,32410,13539,980.1,1500.715,7617.841,116183.635
ReAtlas_biomass.2059,2059,Rowan,Kentucky,634.264,6.146,13161,39447,1722.665,2485.177,1917.556,59492.898
ReAtlas_biomass.2060,2060,Jefferson,Kentucky,1337.831,34.913,7768,0,10267.632,76438.981,66717.349,163853.173
ReAtlas_biomass.2121,2121,Caldwell,Kentucky,27200.269,547.266,17157,15074,4.082,1506.134,0,156425.239
ReAtlas_biomass.2122,2122,Clay,Kentucky,0,22.924,28885,22042,12.247,2661.211,0,53663.989
ReAtlas_biomass.2123,2123,Pulaski,Kentucky,8144.313,414.341,47007,42502,2555.942,6364.754,5217.317,112676.023
ReAtlas_biomass.2125,2125,Laurel,Kentucky,380.558,90.79,77008,93904,1494.194,5894.451,8157.81,187140.806
ReAtlas_biomass.2541,2541,Grundy,Iowa,336910.808,1381.579,29,0,4.082,1366.571,0,360347.664
ReAtlas_biomass.2543,2543,Benton,Iowa,386128.865,1257.236,1044,13922,738.482,2882.714,0,496824.053
ReAtlas_biomass.625,625,Willacy,Texas,71803.099,8.706,0,0,0,2158.849,0,74003.861
ReAtlas_biomass.626,626,Cameron,Texas,181680.239,6.529,0,0,1771.654,36672.924,0,220685.677
ReAtlas_biomass.627,627,Stewart,Tennessee,3729.509,8.559,26742,20570,257.047,1406.202,0,53358.833
ReAtlas_biomass.628,628,Robertson,Tennessee,56208.363,318.041,4502,4090,510.012,5879.168,1330.061,75899.642
ReAtlas_biomass.2544,2544,Linn,Iowa,283868.305,931.943,8014,0,1273.889,20771.433,11951.261,397296.118
ReAtlas_biomass.630,630,Montgomery,Tennessee,29887.518,118.042,10555,41152,277.459,14421.968,4900,106252.278
ReAtlas_biomass.631,631,Macon,Tennessee,2546.94,164.812,16438,48216,1245.312,2258.621,782,72263.281
ReAtlas_biomass.2545,2545,Tama,Iowa,348623.981,984.704,4144,1764,12.247,1958,0,514645.722
ReAtlas_biomass.2546,2546,Jones,Iowa,250009.793,1410.001,2039,8645,248.882,2176.46,0,359149.059
ReAtlas_biomass.2548,2548,Crawford,Iowa,360096.601,1446.156,1328,0,244.8,1929.03,0,431425.21
ReAtlas_biomass.2549,2549,Carroll,Iowa,317452.791,2991.939,0,0,24.494,2481.793,0,370385.825
ReAtlas_biomass.2550,2550,Marshall,Iowa,305973.759,944.946,591,0,24.494,4327.043,1778.7,369628.385
ReAtlas_biomass.2551,2551,Boone,Iowa,287366.356,882.826,1574,3632,20.412,2886.414,1760.629,334341.508
ReAtlas_biomass.2552,2552,Greene,Iowa,320326.897,1229.784,348,0,0,1250.753,0,357867.532
ReAtlas_biomass.2553,2553,Story,Iowa,308432.428,917.542,88,0,285.624,8340.359,0,349489.166
ReAtlas_biomass.646,646,Lake,Tennessee,51776.737,0.951,1420,0,0,936.606,0,54718.983
ReAtlas_biomass.648,648,Henry,Tennessee,54743.129,1338.565,28544,54224,489.6,3308.759,716.226,215407.494
ReAtlas_biomass.2555,2555,Cedar,Iowa,308305.728,1215.906,1544,3138,244.8,1875.884,0,389712.398
ReAtlas_biomass.2557,2557,Shelby,Iowa,287826.984,954.87,71,0,4.082,1449.499,0,337618.74
ReAtlas_biomass.2558,2558,Dallas,Iowa,242895.915,572.126,505,0,501.847,4384.688,0,297970.192
ReAtlas_biomass.2560,2560,Audubon,Iowa,203882.096,1338.95,0,0,0,795.255,0,314793.617
ReAtlas_biomass.2561,2561,Guthrie,Iowa,194127.802,778.085,2671,0,0,1352.557,0,354982.987
ReAtlas_biomass.2562,2562,Jasper,Iowa,348922.377,1524.108,641,0,265.212,3929.086,2058,451628.553
ReAtlas_biomass.2563,2563,Iowa,Iowa,224606.773,1084.012,4114,0,16.33,1707.153,0,447905.052
ReAtlas_biomass.662,662,Putnam,Tennessee,354.886,115.262,13558,33240,1269.806,6808.118,5220.732,63842.326
ReAtlas_biomass.2564,2564,Poweshiek,Iowa,265391.073,964.009,2685,0,257.047,2303.779,798.798,419032.524
ReAtlas_biomass.664,664,Dickson,Tennessee,940.669,95.72,17973,33461,750.73,4589.196,1775.223,66361.563
ReAtlas_biomass.2565,2565,Johnson,Iowa,216419.892,1639.25,5299,0,269.294,11721.969,0,355756.923
ReAtlas_biomass.666,666,Humphreys,Tennessee,9177.698,59.3,19824,13646,489.6,1997.344,860.126,50565.284
ReAtlas_biomass.667,667,Gibson,Tennessee,131673.554,504.79,1902,17529,1249.394,5211.249,824,228864.299
ReAtlas_biomass.668,668,Dyer,Tennessee,119557.688,71.161,1025,0,493.682,3964.237,2943,157536.91
ReAtlas_biomass.2566,2566,Scott,Iowa,225453.578,948.71,4772,0,771.142,16819.589,7078.393,279146.852
ReAtlas_biomass.670,670,Knox,Tennessee,0,83.488,3321,0,5037.502,40988.285,5972.561,56671.418
ReAtlas_biomass.2567,2567,Muscatine,Iowa,176379.391,689.376,7714,0,538.589,4757.284,5140.166,276941.24
ReAtlas_biomass.672,672,Cumberland,Tennessee,475.698,293.387,29808,23857,257.047,5067.69,1894,72544.945
ReAtlas_biomass.673,673,Carroll,Tennessee,51817.013,195.582,18233,8024,1016.842,3134.362,1852,149754.246
ReAtlas_biomass.2568,2568,Warren,Iowa,131247.621,417.207,8459,0,12.247,4376.539,0,309911.625
ReAtlas_biomass.675,675,Rutherford,Tennessee,8013.168,218.329,1722,4565,1314.713,19628.61,13841,51148.775
ReAtlas_biomass.676,676,Williamson,Tennessee,5607.33,217.837,4694,19994,281.542,13557.426,5579.936,52570.962
ReAtlas_biomass.2569,2569,Madison,Iowa,128196.614,342.506,9022,0,16.33,1445.979,0,253402.801
ReAtlas_biomass.2571,2571,Keokuk,Iowa,190665.826,1163.13,5810,19397,489.6,1357.404,0,523895.193
ReAtlas_biomass.2572,2572,Mahaska,Iowa,233699.648,2092.93,9830,0,12.247,2394.506,0,419320.223
ReAtlas_biomass.2573,2573,Marion,Iowa,150051.387,735.326,1621,0,505.93,3578.319,4985.32,321816.193
ReAtlas_biomass.2575,2575,Cass,Iowa,205011.963,534.425,71,0,244.8,1605.35,0,325369.759
ReAtlas_biomass.2576,2576,Adair,Iowa,194467.147,348.701,0,0,244.8,940.998,0,354483.16
ReAtlas_biomass.2577,2577,Louisa,Iowa,145158.883,722.511,1767,1194,244.8,1438.166,0,246999.01
ReAtlas_biomass.2578,2578,Jefferson,Iowa,108922.447,591.889,7314,0,750.73,1850.537,0,317975.307
ReAtlas_biomass.2579,2579,Henry,Iowa,157627.348,739.394,5619,4317,248.882,2369.881,0,319821.211
ReAtlas_biomass.2580,2580,Wapello,Iowa,94109.519,289.753,2910,0,244.8,3990.793,2028.6,215354.759
ReAtlas_biomass.2581,2581,Clarke,Iowa,53689.572,552.558,573,0,257.047,1123.576,0,262437.373
ReAtlas_biomass.711,711,Hardeman,Tennessee,22751.61,229.754,34220,111137,1734.912,2988.677,956.237,236024.61
ReAtlas_biomass.712,712,Hardin,Tennessee,18416.157,173.652,51073,104889,1012.759,2901.517,2161.868,230018.299
ReAtlas_biomass.2495,2495,Jerome,Idaho,64652.395,6191.381,0,0,0,1705.382,0,72579.488
ReAtlas_biomass.714,714,Shelby,Tennessee,39697.883,9.51,3209,0,12993.991,95618.456,53455,229753.909
ReAtlas_biomass.715,715,Fayette,Tennessee,52460.627,717.176,13316,0,16.33,3154.001,420.209,204633.45
ReAtlas_biomass.716,716,McNairy,Tennessee,16175.693,481.909,40979,52697,510.012,2712.372,1716.561,195829.126
ReAtlas_biomass.717,717,Lincoln,Tennessee,18103.17,491.548,16479,21256,992.347,3332.686,432.303,70927.565
ReAtlas_biomass.718,718,Franklin,Tennessee,31654.096,847.268,28796,31491,1241.23,4357.52,1004.544,104280.177
ReAtlas_biomass.2496,2496,Cassia,Idaho,121201.526,1817.715,589,0,12.247,2172.753,0,125828.654
ReAtlas_biomass.2504,2504,Emmet,Iowa,210271.051,958.169,7,0,489.6,1318.931,0,250381.565
ReAtlas_biomass.2505,2505,Osceola,Iowa,226696.144,1718.785,0,0,248.882,903.879,0,268100.797
ReAtlas_biomass.2501,2501,Allamakee,Iowa,108708.699,2238.085,36763,0,252.965,1695.202,0,376380.613
ReAtlas_biomass.2502,2502,Howard,Iowa,225524.243,1130.91,886,9330,980.1,1115.209,0,355995.355
ReAtlas_biomass.2503,2503,Winneshiek,Iowa,228967.468,3368.634,9491,0,16.33,2288.784,2450,442224.289
ReAtlas_biomass.725,725,Campbell,South Dakota,31859.831,209.044,0,0,0,158.955,0,201060.697
ReAtlas_biomass.726,726,McPherson,South Dakota,30867.824,696.153,0,0,4.082,259.038,0,200850.517
ReAtlas_biomass.729,729,Marshall,South Dakota,135181.29,822.308,0,0,8.165,408.181,0,434083.46
ReAtlas_biomass.730,730,Walworth,South Dakota,31212.494,249.878,0,0,0,623.663,0,97153.04
ReAtlas_biomass.731,731,Edmunds,South Dakota,131794.094,650.86,0,0,0,480.318,0,225648.334
ReAtlas_biomass.732,732,Day,South Dakota,161442.203,496.954,1,0,0,740.579,0,652557.326
ReAtlas_biomass.2514,2514,Hancock,Iowa,332205.648,1384.648,0,0,0,1429.605,0,371536.567
ReAtlas_biomass.2527,2527,Humboldt,Iowa,259426.499,730.14,181,0,738.482,1343.08,0,292597.138
ReAtlas_biomass.735,735,Grant,South Dakota,136532.818,830.808,0,0,244.8,972.296,0,303397.464
ReAtlas_biomass.832,832,Charleston,South Carolina,0,2.873,13633,0,3070.037,36307.634,7119.161,62133.985
ReAtlas_biomass.736,736,Potter,South Dakota,50937.139,282.302,0,0,0,330.997,0,153937.854
ReAtlas_biomass.883,883,Juniata,Pennsylvania,10440.788,1221.004,37802,57513,4976.266,2358.452,0,142605.352
ReAtlas_biomass.884,884,Berks,Pennsylvania,43429.776,1556.212,10109,5009,4327.596,37127.581,62275,179824.971
ReAtlas_biomass.885,885,Allegheny,Pennsylvania,468.247,0.803,5424,3636,11324.398,127356.314,54865,205200.022
ReAtlas_biomass.886,886,Dauphin,Pennsylvania,14840.613,607.3,13858,18693,2032.783,25383.73,5117.161,99764.742
ReAtlas_biomass.887,887,Perry,Pennsylvania,13171.673,769.762,34702,18533,265.212,4514.194,14.472,93183.349
ReAtlas_biomass.888,888,Bucks,Pennsylvania,16302.343,14.321,1651,5465,7364.974,59476.447,59556,152030.808
ReAtlas_biomass.737,737,Faulk,South Dakota,119706.121,434.275,0,0,4.082,326.269,0,160794.71
ReAtlas_biomass.738,738,Spink,South Dakota,256464.494,879.65,0,0,0,755.68,0,401281.918
ReAtlas_biomass.913,913,Tillamook,Oregon,0,4469.608,67868,219395,0,2956.385,0,294729.114
ReAtlas_biomass.914,914,Washington,Oregon,20977.99,729.426,19648,300621,18150.638,46842.26,0,407705.731
ReAtlas_biomass.2506,2506,Kossuth,Iowa,586584.126,2619.587,698,0,8.165,1951.825,0,653474.448
ReAtlas_biomass.925,925,Lincoln,Oregon,0,5.736,29066,56438,16.33,5132.432,0,90732.048
ReAtlas_biomass.2460,2460,Benewah,Idaho,23101.05,2.626,81477,2230875,0,1215.811,0,2336686.652
ReAtlas_biomass.2461,2461,Latah,Idaho,90022.821,15.703,69321,0,12.247,4065.167,0,163494.707
ReAtlas_biomass.928,928,Linn,Oregon,6015.667,1082.537,34251,282252,1563.595,11992.673,0,337327.908
ReAtlas_biomass.929,929,Benton,Oregon,3525.567,368.984,17691,376436,546.754,9150.391,11123.161,418971.091
ReAtlas_biomass.930,930,Crook,Oregon,1912.754,49.645,3492,193448,559.001,2069.293,0,201562.412
ReAtlas_biomass.931,931,Malheur,Oregon,62688.203,875.348,499,0,980.1,3351.685,0,68446.614
ReAtlas_biomass.932,932,Deschutes,Oregon,536.286,130.252,11920,53389,5135.479,13170.361,1715,86187.149
ReAtlas_biomass.933,933,Lane,Oregon,3157.028,469.644,116927,1353484,11851.639,36670.219,9139.361,1532232.936
ReAtlas_biomass.2462,2462,Clearwater,Idaho,6433.736,2.765,135682,0,8.165,1102.624,0,143244.056
ReAtlas_biomass.740,740,Clark,South Dakota,126111.983,725.54,0,0,0,460.337,0,394435.195
ReAtlas_biomass.939,939,Jackson,Oregon,591.007,138.316,30459,553140,6046.178,21874.152,5936.161,618484.56
ReAtlas_biomass.940,940,Curry,Oregon,0,18.987,30224,179819,252.965,2270.94,0,212620.844
ReAtlas_biomass.2464,2464,Nez Perce,Idaho,89270.929,8.018,4725,0,738.482,3932.165,0,98736.454
ReAtlas_biomass.2471,2471,Fremont,Idaho,108530.75,74.691,515,0,265.212,1371.234,0,110776.431
ReAtlas_biomass.741,741,Codington,South Dakota,124114.605,963.341,0,0,257.047,2491.583,0,279876.203
ReAtlas_biomass.743,743,Deuel,South Dakota,103690.748,621.043,16,0,0,582.784,0,344500.461
ReAtlas_biomass.2508,2508,Mitchell,Iowa,260656.106,2460.503,31,0,8.165,1121.59,0,306120.894
ReAtlas_biomass.746,746,Hand,South Dakota,59434.434,468.423,1110,0,0,424.479,0,184459.841
ReAtlas_biomass.1120,1120,Saratoga,New York,2182.415,105.986,32195,6979,1004.594,21724.371,17877,83275.585
ReAtlas_biomass.1121,1121,Orleans,New York,36320.879,78.796,2589,0,0,4813.573,6089.119,53003.529
ReAtlas_biomass.1122,1122,Monroe,New York,26586.758,53.596,7612,6517,4809.031,78714.156,262111,390962.535
ReAtlas_biomass.2371,2371,La Salle,Illinois,487821.814,315.486,142,0,285.624,12039.393,2229.5,541996.963
ReAtlas_biomass.1124,1124,Onondaga,New York,23763.423,270.661,4211,51058,3808.519,49731.838,6027.161,142644.946
ReAtlas_biomass.1125,1125,Wayne,New York,31875.944,151.006,6449,8060,1228.982,10116.198,0,66414.171
ReAtlas_biomass.747,747,Hamlin,South Dakota,131762.093,659.28,0,0,0,494.17,0,234228.099
ReAtlas_biomass.1133,1133,Rensselaer,New York,6536.869,154.233,15344,10902,269.294,16400.247,5663.161,56533.569
ReAtlas_biomass.2374,2374,Grundy,Illinois,170393.408,128.625,98,0,8.165,3991.46,22925.26,208259.328
ReAtlas_biomass.1135,1135,Erie,New York,8398.026,214.394,11586,1068,5805.461,101602.983,33777,174655.605
