FID,lat,lon,gid,class
ReAtlas_us_geothermal.253,43.37495246242484,-109.95908476753169,253,2
ReAtlas_us_geothermal.714,34.666737707309494,-108.41737715703766,714,2
ReAtlas_us_geothermal.715,36.2965697924869,-111.36127385400201,715,4
ReAtlas_us_geothermal.718,34.79178816010102,-106.87578002322411,718,1
ReAtlas_us_geothermal.717,34.166817917120305,-112.25088510692393,717,2
ReAtlas_us_geothermal.721,34.458384066917425,-108.54229381325993,721,2
ReAtlas_us_geothermal.726,34.41672426482313,-109.29240031886926,726,2
ReAtlas_us_geothermal.727,33.875099145915854,-113.29272639292657,727,2
ReAtlas_us_geothermal.728,33.95838838368165,-111.29237527296013,728,2
ReAtlas_us_geothermal.736,34.54178422003713,-107.45949568061533,736,2
ReAtlas_us_geothermal.763,33.2083913432739,-112.54240197025453,763,2
ReAtlas_us_geothermal.759,33.20838787005026,-112.79241146593063,759,2
ReAtlas_us_geothermal.762,34.08396007691079,-108.12709392423471,762,2
ReAtlas_us_geothermal.771,33.04172483417151,-112.95909050802311,771,2
ReAtlas_us_geothermal.772,34.000246041444356,-106.87619997343023,772,2
ReAtlas_us_geothermal.774,33.41679108851347,-110.70924116471647,774,2
ReAtlas_us_geothermal.776,33.041727470533374,-112.29239444332728,776,2
ReAtlas_us_geothermal.777,33.70843567262034,-106.58395626822946,777,2
ReAtlas_us_geothermal.779,33.3750653992655,-111.50097514430607,779,2
ReAtlas_us_geothermal.780,33.541973170982764,-111.33535340027652,780,2
ReAtlas_us_geothermal.781,33.625108430384564,-106.33393673114128,781,2
ReAtlas_us_geothermal.168,44.95834744630273,-85.45839372536824,168,5
ReAtlas_us_geothermal.783,32.87509073726561,-113.08418436524636,783,2
ReAtlas_us_geothermal.804,32.458431820298955,-111.62564597659815,804,2
ReAtlas_us_geothermal.806,32.458419068537495,-111.12567891808152,806,2
ReAtlas_us_geothermal.810,32.45841891322346,-110.29232825283518,810,2
ReAtlas_us_geothermal.814,32.37508608620636,-110.20898844414356,814,2
ReAtlas_us_geothermal.816,32.167894822708504,-113.12721746318746,816,1
ReAtlas_us_geothermal.815,32.83342813087654,-105.79224591492414,815,2
ReAtlas_us_geothermal.819,32.58366888396056,-107.00080524979825,819,2
ReAtlas_us_geothermal.558,37.70833106787345,-112.2924460550945,558,2
ReAtlas_us_geothermal.552,37.958502043590286,-112.54303501818677,552,2
ReAtlas_us_geothermal.554,38.250259280721714,-110.33489135557511,554,3
ReAtlas_us_geothermal.820,32.08342601954484,-110.70901176228304,820,2
ReAtlas_us_geothermal.821,32.62510877284961,-105.87559548962815,821,2
ReAtlas_us_geothermal.822,32.50010376957264,-106.708930833929,822,2
ReAtlas_us_geothermal.825,31.87511284589234,-110.5006741004498,825,2
ReAtlas_us_geothermal.831,32.04182046277209,-108.79244943356511,831,3
ReAtlas_us_geothermal.832,32.834773815610774,-107.33940106668399,832,1
ReAtlas_us_geothermal.826,32.04181084769428,-110.12591339904338,826,2
ReAtlas_us_geothermal.827,32.16686038781021,-108.83425298498642,827,2
ReAtlas_us_geothermal.828,31.95859102626624,-111.20965026868805,828,1
ReAtlas_us_geothermal.837,32.08347045387674,-106.33395199846078,837,2
ReAtlas_us_geothermal.833,32.3334480744171,-105.79228078902696,833,2
ReAtlas_us_geothermal.794,33.54720004613678,-110.17577104543713,794,2
ReAtlas_us_geothermal.583,37.875004669137674,-105.37558323674034,583,2
ReAtlas_us_geothermal.834,32.20854362468794,-106.66746469602012,834,2
ReAtlas_us_geothermal.843,31.958445374859522,-106.8756029515946,843,2
ReAtlas_us_geothermal.836,31.916864440981172,-108.7507869003538,836,2
ReAtlas_us_geothermal.839,32.00009627475205,-106.54228284394233,839,2
ReAtlas_us_geothermal.840,32.08344012733316,-107.20901954037666,840,2
ReAtlas_us_geothermal.842,32.20876930347929,-106.9601075625769,842,3
ReAtlas_us_geothermal.795,32.958413218962875,-109.29231417098651,795,2
ReAtlas_us_geothermal.845,31.958550483836312,-106.66744356014843,845,2
ReAtlas_us_geothermal.846,31.87510344086798,-106.4588967910999,846,2
ReAtlas_us_geothermal.851,31.625125601392504,-106.20888764775873,851,2
ReAtlas_us_geothermal.847,32.00021194711367,-106.41751413180512,847,3
ReAtlas_us_geothermal.848,31.87511027490845,-105.95888188761324,848,2
ReAtlas_us_geothermal.849,31.791950829610457,-106.20915525630534,849,2
ReAtlas_us_geothermal.546,38.04168362450813,-110.8340914551784,546,5
ReAtlas_us_geothermal.852,31.541902435856485,-106.00060174254003,852,2
ReAtlas_us_geothermal.799,32.91675007367567,-108.95899000420016,799,1
ReAtlas_us_geothermal.800,33.04217562064269,-109.58507408836311,800,3
ReAtlas_us_geothermal.801,32.79173235973041,-109.37561973547773,801,2
ReAtlas_us_geothermal.528,38.083323070200606,-113.0008872615183,528,1
ReAtlas_us_geothermal.541,38.041663061922705,-111.87577503563318,541,2
ReAtlas_us_geothermal.129,45.708325627539544,-86.62516452862008,129,5
ReAtlas_us_geothermal.539,38.166722860198696,-111.95937163456313,539,2
ReAtlas_us_geothermal.543,38.08343882941522,-112.08446874619756,543,2
ReAtlas_us_geothermal.545,37.79176306538565,-113.50108102875146,545,2
ReAtlas_us_geothermal.566,37.54165879121142,-112.2091565094058,566,2
ReAtlas_us_geothermal.568,37.375866290707165,-113.29322507225956,568,2
ReAtlas_us_geothermal.569,37.37501843387376,-112.41747639958402,569,2
ReAtlas_us_geothermal.570,38.208370223601264,-104.83401004736555,570,2
ReAtlas_us_geothermal.572,38.20835078868272,-104.70894045961421,572,2
ReAtlas_us_geothermal.785,32.70840143983666,-113.20908838165431,785,2
ReAtlas_us_geothermal.574,37.29177332900027,-112.66752380926047,574,2
ReAtlas_us_geothermal.575,38.0416745443713,-105.54224883710219,575,2
ReAtlas_us_geothermal.580,37.95837861685465,-105.45893354763126,580,2
ReAtlas_us_geothermal.587,37.958706854295535,-105.04304418990208,587,2
ReAtlas_us_geothermal.591,37.708357668588796,-104.70890026435848,591,2
ReAtlas_us_geothermal.604,37.66674079479671,-105.87614364493038,604,2
ReAtlas_us_geothermal.788,32.91675352753189,-111.79241373646744,788,2
ReAtlas_us_geothermal.796,32.8750863326261,-110.54238945869156,796,2
ReAtlas_us_geothermal.789,32.62516840526016,-113.50082617762413,789,2
ReAtlas_us_geothermal.469,38.95832216402326,-111.4591054393945,469,2
ReAtlas_us_geothermal.480,38.75032097639492,-113.87682869391705,480,3
ReAtlas_us_geothermal.798,33.08346698822609,-108.37585107583078,798,1
ReAtlas_us_geothermal.250,43.37495295343976,-110.04241671623797,250,2
ReAtlas_us_geothermal.805,33.166928318057295,-106.12594927571371,805,1
ReAtlas_us_geothermal.808,33.00009626488901,-105.70891074295915,808,2
ReAtlas_us_geothermal.361,40.749989284154076,-111.79248590860362,361,2
ReAtlas_us_geothermal.383,40.374963318096995,-111.37577202274255,383,2
ReAtlas_us_geothermal.389,40.45841599783468,-111.75129791254031,389,2
ReAtlas_us_geothermal.395,40.7916654147461,-105.20889992840898,395,2
ReAtlas_us_geothermal.256,43.708352136353426,-86.45843795755016,256,5
ReAtlas_us_geothermal.873,31.08647345904243,-88.8811802884359,873,3
ReAtlas_us_geothermal.397,40.166659966146476,-111.50085106577214,397,1
ReAtlas_us_geothermal.430,39.499968979847075,-111.79249515852092,430,2
ReAtlas_us_geothermal.877,30.375205934606143,-89.20839057234761,877,3
ReAtlas_us_geothermal.880,30.29356524444816,-85.41971004404613,880,3
ReAtlas_us_geothermal.403,40.70869039187294,-105.54277806476077,403,2
ReAtlas_us_geothermal.444,39.29164001487179,-111.95912255036023,444,2
ReAtlas_us_geothermal.864,31.04239243160005,-87.54247166886873,864,3
ReAtlas_us_geothermal.411,40.5001063433991,-106.00099003486929,411,1
ReAtlas_us_geothermal.412,39.45828573085048,-114.04251176733018,412,2
ReAtlas_us_geothermal.413,39.95841788975316,-110.58435308085583,413,3
ReAtlas_us_geothermal.420,40.291654588713854,-104.37553813997883,420,2
ReAtlas_us_geothermal.422,39.37497890845058,-114.25108984059352,422,2
ReAtlas_us_geothermal.424,40.41702198205465,-104.95995109367612,424,1
ReAtlas_us_geothermal.429,39.583489711625866,-111.54267403059902,429,2
ReAtlas_us_geothermal.441,40.04168336543623,-104.66723396580105,441,2
ReAtlas_us_geothermal.434,40.125036550019786,-106.41751417452349,434,2
ReAtlas_us_geothermal.452,39.124980842056715,-112.12579125342424,452,2
ReAtlas_us_geothermal.435,39.87504482705133,-108.37587589026816,435,3
ReAtlas_us_geothermal.436,39.3749661728492,-111.87578875621969,436,2
ReAtlas_us_geothermal.515,39.166730189206405,-105.04236180359683,515,2
ReAtlas_us_geothermal.495,38.66667467654647,-112.33420062983177,495,3
ReAtlas_us_geothermal.298,42.541812451063336,-107.79272751026045,298,3
ReAtlas_us_geothermal.313,41.87496439036089,-110.12574079998842,313,3
ReAtlas_us_geothermal.319,42.041702109168455,-107.62587940805167,319,5
ReAtlas_us_geothermal.325,41.499948379882255,-111.70914383944825,325,2
ReAtlas_us_geothermal.337,40.874938400311585,-114.2925591005386,337,2
ReAtlas_us_geothermal.336,41.95856859066311,-107.66844112665041,336,5
ReAtlas_us_geothermal.342,42.45958657046086,-102.96421671985388,342,3
ReAtlas_us_geothermal.107,46.70894806666143,-107.21157384879669,107,2
ReAtlas_us_geothermal.359,41.70879276087951,-105.33583213946429,359,5
ReAtlas_us_geothermal.374,40.87500078113613,-109.00083719000605,374,4
ReAtlas_us_geothermal.363,41.87608731219917,-101.170048585995,363,4
ReAtlas_us_geothermal.366,41.751052654595874,-105.42176845707053,366,5
ReAtlas_us_geothermal.393,41.20851568275709,-102.04279624628634,393,3
ReAtlas_us_geothermal.402,41.33479237578321,-103.58906716864169,402,4
ReAtlas_us_geothermal.244,43.45829214310356,-110.04242094408158,244,2
ReAtlas_us_geothermal.264,43.25022123294804,-110.16808548284465,264,1
ReAtlas_us_geothermal.869,30.583539014037598,-87.20833941972253,869,3
ReAtlas_us_geothermal.382,41.33350393252542,-103.54296678163485,382,5
ReAtlas_us_geothermal.557,39.7844771155639,-99.54158269292054,557,4
ReAtlas_us_geothermal.27,49.33336394632203,-95.00037918715282,27,5
ReAtlas_us_geothermal.31,49.041771747312076,-103.45893441421623,31,2
ReAtlas_us_geothermal.32,48.58368147437875,-112.87833759700902,32,3
ReAtlas_us_geothermal.920,29.375520344260387,-103.37605643933074,920,2
ReAtlas_us_geothermal.263,44.211361107320236,-102.67479471722748,263,5
ReAtlas_us_geothermal.243,43.45840237014794,-110.25085236261125,243,2
ReAtlas_us_geothermal.246,43.41663188064639,-110.50086361826138,246,2
ReAtlas_us_geothermal.237,43.54173377432009,-110.25085852331816,237,2
ReAtlas_us_geothermal.220,43.95829637850526,-110.04243907284439,220,2
ReAtlas_us_geothermal.208,43.95826918244379,-111.04246194554543,208,2
ReAtlas_us_geothermal.228,43.83347507994442,-110.29269534422221,228,2
ReAtlas_us_geothermal.882,30.291933670267817,-90.37525424947296,882,4
ReAtlas_us_geothermal.229,43.749997026196446,-110.95928050205083,229,3
ReAtlas_us_geothermal.212,43.95828154749822,-110.62579198251791,212,2
ReAtlas_us_geothermal.183,44.37495188417015,-110.37578115959008,183,1
ReAtlas_us_geothermal.199,44.16680557510597,-110.45938401513786,199,1
ReAtlas_us_geothermal.887,30.083557970744536,-89.41678509487687,887,3
ReAtlas_us_geothermal.193,44.20834185556863,-110.70918726255346,193,1
ReAtlas_us_geothermal.190,44.20829412612664,-111.00083135857292,190,1
ReAtlas_us_geothermal.218,44.33419692782481,-110.46235381101192,218,2
ReAtlas_us_geothermal.871,30.50023580856943,-88.91676739808779,871,2
ReAtlas_us_geothermal.179,44.166700300829895,-112.83440594369222,179,2
ReAtlas_us_geothermal.173,44.37502031206426,-113.16810456904034,173,2
ReAtlas_us_geothermal.241,44.80767106240686,-108.70200730291162,241,4
ReAtlas_us_geothermal.204,44.335713575775806,-114.09383602437549,204,2
ReAtlas_us_geothermal.17,48.79384248252108,-112.21215681251005,17,5
ReAtlas_us_geothermal.217,46.33226458884621,-116.41294530266285,217,3
ReAtlas_us_geothermal.191,44.2082810262639,-110.87579210849518,191,1
ReAtlas_us_geothermal.5,49.04162345417483,-117.58449270536309,5,2
ReAtlas_us_geothermal.6,48.95828616132024,-117.41781356460382,6,2
ReAtlas_us_geothermal.7,49.00068785988358,-117.08510587628973,7,2
ReAtlas_us_geothermal.8,48.95840716376497,-116.5011866172218,8,2
ReAtlas_us_geothermal.9,48.875295476121934,-117.04301559097274,9,2
ReAtlas_us_geothermal.404,42.84863542459197,-84.69838723441259,404,5
ReAtlas_us_geothermal.672,34.62518016243675,-77.29136749249301,672,5
ReAtlas_us_geothermal.698,34.50052545248974,-77.62586415675901,698,5
ReAtlas_us_geothermal.113,46.08347667289598,-84.00022148717815,113,5
ReAtlas_us_geothermal.853,35.310535590969494,-79.9553903868665,853,5
ReAtlas_us_geothermal.879,37.62656005336803,-83.86298291637218,879,5
ReAtlas_us_geothermal.857,30.79189782197689,-81.45816895325066,857,5
ReAtlas_us_geothermal.888,33.68238450922361,-84.7820520973981,888,5
ReAtlas_us_geothermal.958,32.98092815459775,-79.5313674366241,958,5
ReAtlas_us_geothermal.891,29.95854528765242,-89.20838732288288,891,5
ReAtlas_us_geothermal.874,30.20870419054669,-85.45852277044315,874,3
ReAtlas_us_geothermal.876,30.29189766579257,-87.91669770355674,876,3
ReAtlas_us_geothermal.884,29.833571986433263,-85.33332913556973,884,3
ReAtlas_us_geothermal.892,30.04197926415685,-89.83362902956745,892,4
ReAtlas_us_geothermal.893,29.875238297891514,-89.33341673145588,893,5
ReAtlas_us_geothermal.894,30.000363696728286,-89.37539716674112,894,4
ReAtlas_us_geothermal.899,30.043157039341594,-90.00178914037025,899,5
ReAtlas_us_geothermal.697,35.54177994485818,-89.50020534380042,697,3
ReAtlas_us_geothermal.712,34.33421246229163,-78.58472994847975,712,3
ReAtlas_us_geothermal.933,28.62536887083617,-99.00050611277823,933,4
ReAtlas_us_geothermal.760,33.20851845543122,-79.20812331873123,760,5
ReAtlas_us_geothermal.773,33.71028781705354,-81.67005974428787,773,3
ReAtlas_us_geothermal.775,33.8751163081145,-87.12502238314349,775,3
ReAtlas_us_geothermal.494,38.08347337855424,-75.7913664752439,494,3
ReAtlas_us_geothermal.824,32.70864264203697,-88.12551236418628,824,5
ReAtlas_us_geothermal.841,33.23699609913794,-80.72112196055772,841,4
ReAtlas_us_geothermal.540,37.958468404725345,-79.45811597970754,540,5
ReAtlas_us_geothermal.532,38.166804715017484,-79.29152281467444,532,5
ReAtlas_us_geothermal.470,38.791793007131226,-79.29145305614819,470,5
ReAtlas_us_geothermal.533,38.166804905508485,-79.37485808809404,533,5
ReAtlas_us_geothermal.544,37.87514329409532,-79.54145409629751,544,5
ReAtlas_us_geothermal.547,38.04179986627975,-80.54154402935995,547,3
